order_id,target,total_items,exported,output_file
00100001,rollcontainer,44,no,
00100002,rollcontainer,38,no,
00100003,rollcontainer,34,no,
00100004,euro-pallet,58,no,
00100005,euro-pallet,52,no,
00100006,euro-pallet,108,no,
00100007,rollcontainer,29,no,
00100008,rollcontainer,36,no,
00100009,rollcontainer,45,no,
00100010,euro-pallet,49,no,
00100011,euro-pallet,54,no,
00100012,euro-pallet,42,no,
00100013,rollcontainer,45,no,
00100014,rollcontainer,47,no,
00100015,rollcontainer,37,no,
00100016,euro-pallet,55,no,
00100017,rollcontainer,32,no,
00100018,rollcontainer,45,no,
00100019,rollcontainer,27,no,
00100020,rollcontainer,45,no,
00100021,rollcontainer,48,no,
00100022,euro-pallet,60,no,
00100023,rollcontainer,38,no,
00100024,rollcontainer,41,no,
00100025,euro-pallet,55,no,
00100026,euro-pallet,29,no,
00100027,rollcontainer,19,no,
00100028,rollcontainer,39,no,
00100029,euro-pallet,60,no,
00100030,euro-pallet,43,no,
00100031,euro-pallet,39,no,
00100032,rollcontainer,44,no,
00100033,rollcontainer,40,no,
00100034,rollcontainer,48,no,
00100035,euro-pallet,59,no,
00100036,rollcontainer,44,no,
00100037,rollcontainer,37,no,
00100038,euro-pallet,48,no,
00100039,euro-pallet,32,no,
00100040,euro-pallet,52,no,
00100041,rollcontainer,22,no,
00100042,euro-pallet,61,no,
00100043,euro-pallet,35,no,
00100044,rollcontainer,21,no,
00100045,rollcontainer,46,no,
00100046,euro-pallet,41,no,
00100047,euro-pallet,62,no,
00100048,euro-pallet,52,no,
00100049,rollcontainer,33,no,
00100050,euro-pallet,55,no,
00100051,euro-pallet,55,no,
00100052,rollcontainer,43,no,
00100053,euro-pallet,40,no,
00100054,euro-pallet,51,no,
00100055,rollcontainer,43,no,
00100056,rollcontainer,43,no,
00100057,rollcontainer,26,no,
00100058,rollcontainer,34,no,
00100059,euro-pallet,52,no,
00100060,euro-pallet,51,no,
00100061,rollcontainer,31,no,
00100062,rollcontainer,21,no,
00100063,euro-pallet,41,no,
00100064,euro-pallet,57,no,
00100065,rollcontainer,17,no,
00100066,euro-pallet,51,no,
00100067,euro-pallet,47,no,
00100068,rollcontainer,44,no,
00100069,euro-pallet,50,no,
00100070,rollcontainer,47,no,
00100071,rollcontainer,29,no,
00100072,rollcontainer,29,no,
00100073,rollcontainer,21,no,
00100074,rollcontainer,35,no,
00100075,rollcontainer,37,no,
00100076,euro-pallet,46,no,
00100077,rollcontainer,21,no,
00100078,euro-pallet,44,no,
00100079,euro-pallet,33,no,
00100080,euro-pallet,47,no,
00100081,rollcontainer,27,no,
00100082,euro-pallet,41,no,
00100083,euro-pallet,52,no,
00100084,euro-pallet,40,no,
00100085,rollcontainer,33,no,
00100086,rollcontainer,35,no,
00100087,rollcontainer,23,no,
00100088,rollcontainer,42,no,
00100089,euro-pallet,56,no,
00100090,rollcontainer,14,yes,bedbpp_order_00100090_rollcontainer.txt
00100091,rollcontainer,38,no,
00100092,rollcontainer,32,no,
00100093,rollcontainer,26,no,
00100094,rollcontainer,47,no,
00100095,rollcontainer,30,no,
00100096,rollcontainer,46,no,
00100097,euro-pallet,42,no,
00100098,rollcontainer,44,no,
00100099,euro-pallet,57,no,
00100100,euro-pallet,33,no,
00100101,rollcontainer,39,no,
00100102,rollcontainer,46,no,
00100103,rollcontainer,33,no,
00100104,euro-pallet,44,no,
00100105,euro-pallet,56,no,
00100106,euro-pallet,46,no,
00100107,rollcontainer,40,no,
00100108,rollcontainer,17,no,
00100109,rollcontainer,66,no,
00100110,rollcontainer,33,no,
00100111,euro-pallet,47,no,
00100112,euro-pallet,48,no,
00100113,euro-pallet,61,no,
00100114,rollcontainer,34,no,
00100115,euro-pallet,47,no,
00100116,rollcontainer,44,no,
00100117,rollcontainer,38,no,
00100118,euro-pallet,45,no,
00100119,euro-pallet,43,no,
00100120,euro-pallet,49,no,
00100121,rollcontainer,41,no,
00100122,rollcontainer,40,no,
00100123,rollcontainer,31,no,
00100124,euro-pallet,37,no,
00100125,rollcontainer,45,no,
00100126,rollcontainer,47,no,
00100127,euro-pallet,54,no,
00100128,euro-pallet,59,no,
00100129,rollcontainer,32,no,
00100130,euro-pallet,49,no,
00100131,euro-pallet,30,no,
00100132,euro-pallet,35,no,
00100133,euro-pallet,35,yes,bedbpp_order_00100133_euro-pallet.txt
00100134,rollcontainer,39,no,
00100135,euro-pallet,52,no,
00100136,euro-pallet,50,no,
00100137,euro-pallet,44,no,
00100138,euro-pallet,46,no,
00100139,rollcontainer,31,yes,bedbpp_order_00100139_rollcontainer.txt
00100140,euro-pallet,61,no,
00100141,rollcontainer,34,no,
00100142,euro-pallet,40,no,
00100143,rollcontainer,53,no,
00100144,euro-pallet,56,no,
00100145,euro-pallet,56,no,
00100146,rollcontainer,20,no,
00100147,euro-pallet,45,no,
00100148,rollcontainer,22,no,
00100149,euro-pallet,46,no,
00100150,rollcontainer,18,no,
00100151,rollcontainer,43,no,
00100152,euro-pallet,50,no,
00100153,rollcontainer,15,no,
00100154,euro-pallet,64,no,
00100155,euro-pallet,59,no,
00100156,euro-pallet,47,no,
00100157,rollcontainer,49,no,
00100158,euro-pallet,42,no,
00100159,rollcontainer,34,no,
00100160,rollcontainer,16,no,
00100161,rollcontainer,44,no,
00100162,rollcontainer,43,yes,bedbpp_order_00100162_rollcontainer.txt
00100163,rollcontainer,42,no,
00100164,euro-pallet,49,no,
00100165,euro-pallet,43,no,
00100166,rollcontainer,41,no,
00100167,euro-pallet,41,no,
00100168,euro-pallet,64,no,
00100169,euro-pallet,56,no,
00100170,euro-pallet,56,no,
00100171,rollcontainer,22,no,
00100172,euro-pallet,51,no,
00100173,rollcontainer,49,no,
00100174,rollcontainer,40,no,
00100175,rollcontainer,47,no,
00100176,euro-pallet,39,no,
00100177,euro-pallet,58,no,
00100178,euro-pallet,59,no,
00100179,euro-pallet,49,no,
00100180,euro-pallet,59,no,
00100181,rollcontainer,37,no,
00100182,rollcontainer,45,no,
00100183,rollcontainer,27,no,
00100184,euro-pallet,49,no,
00100185,euro-pallet,54,no,
00100186,euro-pallet,55,no,
00100187,euro-pallet,23,no,
00100188,euro-pallet,53,no,
00100189,rollcontainer,31,no,
00100190,euro-pallet,47,no,
00100191,rollcontainer,44,no,
00100192,euro-pallet,31,no,
00100193,rollcontainer,41,no,
00100194,rollcontainer,19,no,
00100195,euro-pallet,57,no,
00100196,euro-pallet,54,no,
00100197,rollcontainer,35,no,
00100198,rollcontainer,36,no,
00100199,euro-pallet,62,no,
00100200,rollcontainer,46,no,
00100201,euro-pallet,49,no,
00100202,euro-pallet,73,no,
00100203,rollcontainer,44,no,
00100204,euro-pallet,57,no,
00100205,rollcontainer,43,no,
00100206,rollcontainer,47,no,
00100207,euro-pallet,63,no,
00100208,rollcontainer,33,no,
00100209,rollcontainer,21,no,
00100210,rollcontainer,33,no,
00100211,euro-pallet,56,no,
00100212,euro-pallet,29,no,
00100213,euro-pallet,45,no,
00100214,rollcontainer,36,no,
00100215,rollcontainer,37,no,
00100216,rollcontainer,40,no,
00100217,euro-pallet,59,no,
00100218,rollcontainer,19,no,
00100219,euro-pallet,54,no,
00100220,rollcontainer,17,no,
00100221,euro-pallet,32,no,
00100222,euro-pallet,34,no,
00100223,euro-pallet,51,no,
00100224,rollcontainer,45,no,
00100225,euro-pallet,55,no,
00100226,euro-pallet,56,no,
00100227,euro-pallet,37,no,
00100228,rollcontainer,34,no,
00100229,euro-pallet,60,no,
00100230,rollcontainer,34,no,
00100231,euro-pallet,51,no,
00100232,euro-pallet,58,no,
00100233,rollcontainer,19,no,
00100234,rollcontainer,33,no,
00100235,euro-pallet,44,no,
00100236,rollcontainer,26,no,
00100237,rollcontainer,43,no,
00100238,euro-pallet,41,no,
00100239,rollcontainer,42,no,
00100240,euro-pallet,105,no,
00100241,rollcontainer,17,no,
00100242,rollcontainer,41,no,
00100243,rollcontainer,33,no,
00100244,rollcontainer,23,no,
00100245,euro-pallet,39,no,
00100246,rollcontainer,36,no,
00100247,rollcontainer,40,no,
00100248,rollcontainer,22,no,
00100249,rollcontainer,46,no,
00100250,rollcontainer,47,no,
00100251,euro-pallet,47,no,
00100252,rollcontainer,38,no,
00100253,rollcontainer,41,no,
00100254,rollcontainer,21,no,
00100255,rollcontainer,37,no,
00100256,rollcontainer,15,no,
00100257,euro-pallet,69,no,
00100258,rollcontainer,42,no,
00100259,rollcontainer,36,no,
00100260,euro-pallet,60,no,
00100261,euro-pallet,56,no,
00100262,euro-pallet,35,no,
00100263,rollcontainer,32,no,
00100264,euro-pallet,57,no,
00100265,euro-pallet,74,no,
00100266,rollcontainer,37,no,
00100267,euro-pallet,47,no,
00100268,rollcontainer,18,no,
00100269,rollcontainer,39,no,
00100270,rollcontainer,32,no,
00100271,euro-pallet,43,no,
00100272,euro-pallet,38,no,
00100273,rollcontainer,32,no,
00100274,rollcontainer,20,no,
00100275,euro-pallet,29,no,
00100276,euro-pallet,55,no,
00100277,euro-pallet,42,no,
00100278,rollcontainer,18,no,
00100279,rollcontainer,48,no,
00100280,rollcontainer,42,no,
00100281,rollcontainer,31,no,
00100282,euro-pallet,45,no,
00100283,euro-pallet,57,no,
00100284,rollcontainer,39,no,
00100285,euro-pallet,45,no,
00100286,rollcontainer,38,no,
00100287,rollcontainer,48,no,
00100288,euro-pallet,38,no,
00100289,rollcontainer,46,no,
00100290,rollcontainer,52,no,
00100291,rollcontainer,42,no,
00100292,euro-pallet,58,no,
00100293,rollcontainer,41,no,
00100294,rollcontainer,22,no,
00100295,rollcontainer,42,no,
00100296,euro-pallet,30,no,
00100297,rollcontainer,33,no,
00100298,rollcontainer,43,no,
00100299,euro-pallet,56,no,
00100300,euro-pallet,55,no,
00100301,euro-pallet,54,no,
00100302,euro-pallet,55,no,
00100303,rollcontainer,48,no,
00100304,euro-pallet,58,no,
00100305,rollcontainer,40,no,
00100306,rollcontainer,35,no,
00100307,euro-pallet,46,no,
00100308,rollcontainer,41,no,
00100309,euro-pallet,86,no,
00100310,euro-pallet,44,no,
00100311,rollcontainer,46,no,
00100312,rollcontainer,30,no,
00100313,euro-pallet,34,no,
00100314,rollcontainer,41,no,
00100315,rollcontainer,34,no,
00100316,rollcontainer,44,no,
00100317,euro-pallet,32,no,
00100318,euro-pallet,35,no,
00100319,rollcontainer,16,no,
00100320,euro-pallet,63,no,
00100321,euro-pallet,55,no,
00100322,rollcontainer,44,no,
00100323,rollcontainer,22,no,
00100324,rollcontainer,36,no,
00100325,euro-pallet,59,no,
00100326,rollcontainer,45,no,
00100327,rollcontainer,17,no,
00100328,euro-pallet,50,no,
00100329,euro-pallet,54,no,
00100330,rollcontainer,42,no,
00100331,rollcontainer,75,no,
00100332,rollcontainer,33,no,
00100333,euro-pallet,29,no,
00100334,euro-pallet,63,no,
00100335,rollcontainer,38,no,
00100336,rollcontainer,20,no,
00100337,euro-pallet,44,no,
00100338,rollcontainer,43,no,
00100339,rollcontainer,17,no,
00100340,rollcontainer,52,no,
00100341,euro-pallet,45,no,
00100342,rollcontainer,15,no,
00100343,euro-pallet,35,no,
00100344,rollcontainer,19,no,
00100345,euro-pallet,46,no,
00100346,rollcontainer,37,no,
00100347,rollcontainer,33,no,
00100348,rollcontainer,35,no,
00100349,rollcontainer,36,no,
00100350,euro-pallet,43,no,
00100351,euro-pallet,62,no,
00100352,rollcontainer,30,no,
00100353,euro-pallet,54,no,
00100354,rollcontainer,20,no,
00100355,euro-pallet,53,no,
00100356,rollcontainer,18,no,
00100357,euro-pallet,37,no,
00100358,rollcontainer,33,no,
00100359,rollcontainer,38,no,
00100360,euro-pallet,52,no,
00100361,euro-pallet,44,no,
00100362,rollcontainer,35,no,
00100363,rollcontainer,30,no,
00100364,euro-pallet,51,no,
00100365,rollcontainer,53,no,
00100366,euro-pallet,59,no,
00100367,rollcontainer,21,no,
00100368,rollcontainer,17,no,
00100369,euro-pallet,34,no,
00100370,euro-pallet,34,no,
00100371,euro-pallet,31,no,
00100372,euro-pallet,52,no,
00100373,euro-pallet,29,no,
00100374,euro-pallet,45,no,
00100375,euro-pallet,54,no,
00100376,rollcontainer,40,no,
00100377,rollcontainer,17,no,
00100378,euro-pallet,24,no,
00100379,rollcontainer,36,no,
00100380,rollcontainer,46,no,
00100381,rollcontainer,31,no,
00100382,rollcontainer,40,no,
00100383,rollcontainer,40,no,
00100384,rollcontainer,40,no,
00100385,euro-pallet,47,no,
00100386,euro-pallet,53,no,
00100387,rollcontainer,31,no,
00100388,rollcontainer,17,no,
00100389,rollcontainer,19,no,
00100390,rollcontainer,34,no,
00100391,euro-pallet,36,no,
00100392,rollcontainer,44,no,
00100393,rollcontainer,28,no,
00100394,euro-pallet,53,no,
00100395,euro-pallet,53,no,
00100396,euro-pallet,49,no,
00100397,rollcontainer,43,no,
00100398,euro-pallet,58,no,
00100399,euro-pallet,54,no,
00100400,euro-pallet,60,no,
00100401,rollcontainer,39,no,
00100402,rollcontainer,51,no,
00100403,euro-pallet,37,no,
00100404,euro-pallet,56,no,
00100405,euro-pallet,56,no,
00100406,rollcontainer,36,no,
00100407,euro-pallet,27,no,
00100408,euro-pallet,26,no,
00100409,euro-pallet,55,no,
00100410,euro-pallet,43,no,
00100411,rollcontainer,34,no,
00100412,rollcontainer,36,no,
00100413,euro-pallet,53,no,
00100414,euro-pallet,68,no,
00100415,rollcontainer,40,no,
00100416,rollcontainer,43,no,
00100417,rollcontainer,44,no,
00100418,rollcontainer,35,no,
00100419,rollcontainer,51,no,
00100420,rollcontainer,19,no,
00100421,rollcontainer,33,no,
00100422,euro-pallet,57,no,
00100423,euro-pallet,56,no,
00100424,euro-pallet,50,no,
00100425,euro-pallet,69,no,
00100426,rollcontainer,40,no,
00100427,rollcontainer,42,no,
00100428,euro-pallet,52,no,
00100429,rollcontainer,24,no,
00100430,rollcontainer,32,no,
00100431,euro-pallet,54,no,
00100432,euro-pallet,44,no,
00100433,euro-pallet,49,no,
00100434,euro-pallet,51,no,
00100435,rollcontainer,38,no,
00100436,euro-pallet,57,no,
00100437,euro-pallet,42,no,
00100438,rollcontainer,33,no,
00100439,rollcontainer,58,no,
00100440,euro-pallet,30,no,
00100441,euro-pallet,68,no,
00100442,rollcontainer,36,no,
00100443,rollcontainer,34,no,
00100444,euro-pallet,54,no,
00100445,rollcontainer,23,no,
00100446,rollcontainer,33,no,
00100447,euro-pallet,48,no,
