set,instance,bin_type,source_bin_count,raw_items,exported_items,orientation_constraints,negative_weights_clamped,oversized_items_skipped,invalid_rows_skipped,output_file
A,ARG_BUR_STK_container,CT40H,2,219,219,6,0,0,0,data/academic/esicup/ku_leuven_esicup_A_ARG_BUR_STK_container_CT40H.txt
A,ARG_BUR_STK_container,UT12X,2,219,219,6,0,0,0,data/academic/esicup/ku_leuven_esicup_A_ARG_BUR_STK_container_UT12X.txt
A,AVF_RIR_STK_container,CT40H,2,805,805,146,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVF_RIR_STK_container_CT40H.txt
A,AVF_RIR_STK_container,UT12,2,805,805,146,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVF_RIR_STK_container_UT12.txt
A,AVF_RIR_STK_truck,CA270,2,415,415,59,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVF_RIR_STK_truck_CA270.txt
A,AVF_RIR_STK_truck,CA29R,2,415,415,59,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVF_RIR_STK_truck_CA29R.txt
A,AVT_BUR_STK_container,CT40H,2,145,145,6,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVT_BUR_STK_container_CT40H.txt
A,AVT_BUR_STK_container,UT12X,2,145,145,6,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVT_BUR_STK_container_UT12X.txt
A,AVZ_RIR_STK_container,CT40H,2,675,675,206,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVZ_RIR_STK_container_CT40H.txt
A,AVZ_RIR_STK_container,UT12,2,675,675,206,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVZ_RIR_STK_container_UT12.txt
A,AVZ_RIR_STK_truck,CA270,2,327,327,51,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVZ_RIR_STK_truck_CA270.txt
A,AVZ_RIR_STK_truck,CA29R,2,327,327,51,0,0,0,data/academic/esicup/ku_leuven_esicup_A_AVZ_RIR_STK_truck_CA29R.txt
A,CHE_GC_PEX_container,CT40H,2,211,211,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CHE_GC_PEX_container_CT40H.txt
A,CHE_GC_PEX_container,UT12,2,211,211,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CHE_GC_PEX_container_UT12.txt
A,CHE_RIR_STK_container,CT40H,2,482,482,124,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CHE_RIR_STK_container_CT40H.txt
A,CHE_RIR_STK_container,UT12,2,482,482,124,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CHE_RIR_STK_container_UT12.txt
A,CME_GC_PEX_container,CT40H,2,259,259,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CME_GC_PEX_container_CT40H.txt
A,CME_GC_PEX_container,UT12,2,259,259,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CME_GC_PEX_container_UT12.txt
A,CVP_GC_PEX_container,CT40H,2,736,736,19,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CVP_GC_PEX_container_CT40H.txt
A,CVP_GC_PEX_container,UT12,2,736,736,19,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CVP_GC_PEX_container_UT12.txt
A,CVU_GC_PEX_container,CT40H,2,2447,2447,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CVU_GC_PEX_container_CT40H.txt
A,CVU_GC_PEX_container,UT12,2,2447,2447,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_CVU_GC_PEX_container_UT12.txt
A,FSI_GC_PEX_container,CT40H,2,967,967,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_FSI_GC_PEX_container_CT40H.txt
A,FSI_GC_PEX_container,UT12,2,967,967,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_FSI_GC_PEX_container_UT12.txt
A,IND_RIR_STK_container,CT40H,2,202,202,65,0,0,0,data/academic/esicup/ku_leuven_esicup_A_IND_RIR_STK_container_CT40H.txt
A,IND_RIR_STK_container,UT12,2,202,202,65,0,0,0,data/academic/esicup/ku_leuven_esicup_A_IND_RIR_STK_container_UT12.txt
A,MED_GC_PEX_container,CT40H,2,320,320,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_MED_GC_PEX_container_CT40H.txt
A,MED_GC_PEX_container,UT12,2,320,320,0,0,0,0,data/academic/esicup/ku_leuven_esicup_A_MED_GC_PEX_container_UT12.txt
A,NSA_BUR_STK_container,CT40H,2,117,117,22,0,0,0,data/academic/esicup/ku_leuven_esicup_A_NSA_BUR_STK_container_CT40H.txt
A,NSA_BUR_STK_container,UT12X,2,117,117,22,0,0,0,data/academic/esicup/ku_leuven_esicup_A_NSA_BUR_STK_container_UT12X.txt
A,NSA_RIR_STK_container,CT40H,2,196,196,19,0,0,0,data/academic/esicup/ku_leuven_esicup_A_NSA_RIR_STK_container_CT40H.txt
